match_date,day,match_hour,week,country,season,league,venue,team,gf,ga,opponent,result,goal_diff
2024-09-01,Sunday,12,3,England,2024/2025,Premier League,Home,Chelsea,1,1,Crystal Palace,D,0
2024-09-14,Saturday,19,4,England,2024/2025,Premier League,Away,Chelsea,1,0,Bournemouth,W,1
2024-09-21,Saturday,11,5,England,2024/2025,Premier League,Away,Chelsea,3,0,West Ham,W,3
2024-09-28,Saturday,14,6,England,2024/2025,Premier League,Home,Chelsea,4,2,Brighton Hove,W,2
2024-10-06,Sunday,13,7,England,2024/2025,Premier League,Home,Chelsea,1,1,Nottingham,D,0
2024-10-20,Sunday,15,8,England,2024/2025,Premier League,Away,Chelsea,1,2,Liverpool,L,-1
2024-10-27,Sunday,14,9,England,2024/2025,Premier League,Home,Chelsea,2,1,Newcastle,W,1
2024-11-03,Sunday,16,10,England,2024/2025,Premier League,Away,Chelsea,1,1,Man United,D,0
2024-11-10,Sunday,16,11,England,2024/2025,Premier League,Home,Chelsea,1,1,Arsenal,D,0
2024-11-23,Saturday,12,12,England,2024/2025,Premier League,Away,Chelsea,2,1,Leicester City,W,1
2024-12-01,Sunday,13,13,England,2024/2025,Premier League,Home,Chelsea,3,0,Aston Villa,W,3
2024-12-04,Wednesday,19,14,England,2024/2025,Premier League,Away,Chelsea,5,1,Southampton,W,4
2024-12-08,Sunday,16,15,England,2024/2025,Premier League,Away,Chelsea,4,3,Tottenham,W,1
2024-12-15,Sunday,19,16,England,2024/2025,Premier League,Home,Chelsea,2,1,Brentford,W,1
2024-12-22,Sunday,14,17,England,2024/2025,Premier League,Away,Chelsea,0,0,Everton,D,0
2024-12-26,Thursday,15,18,England,2024/2025,Premier League,Home,Chelsea,1,2,Fulham,L,-1
2024-12-30,Monday,19,19,England,2024/2025,Premier League,Away,Chelsea,0,2,Ipswich Town,L,-2
2025-01-04,Saturday,15,20,England,2024/2025,Premier League,Away,Chelsea,1,1,Crystal Palace,D,0
2025-01-14,Tuesday,19,21,England,2024/2025,Premier League,Home,Chelsea,2,2,Bournemouth,D,0
2025-01-20,Monday,20,22,England,2024/2025,Premier League,Home,Chelsea,3,1,Wolverhampton,W,2
2025-01-25,Saturday,17,23,England,2024/2025,Premier League,Away,Chelsea,1,3,Man City,L,-2
2025-02-03,Monday,20,24,England,2024/2025,Premier League,Home,Chelsea,2,1,West Ham,W,1
2025-02-14,Friday,20,25,England,2024/2025,Premier League,Away,Chelsea,0,3,Brighton Hove,L,-3
2025-02-22,Saturday,17,26,England,2024/2025,Premier League,Away,Chelsea,1,2,Aston Villa,L,-1
2025-02-25,Tuesday,20,27,England,2024/2025,Premier League,Home,Chelsea,4,0,Southampton,W,4
2025-03-09,Sunday,14,28,England,2024/2025,Premier League,Home,Chelsea,1,0,Leicester City,W,1
2025-03-16,Sunday,13,29,England,2024/2025,Premier League,Away,Chelsea,0,1,Arsenal,L,-1
2025-04-03,Thursday,19,30,England,2024/2025,Premier League,Home,Chelsea,1,0,Tottenham,W,1
2025-04-06,Sunday,13,31,England,2024/2025,Premier League,Away,Chelsea,0,0,Brentford,D,0
2025-04-13,Sunday,13,32,England,2024/2025,Premier League,Home,Chelsea,2,2,Ipswich Town,D,0
2025-04-20,Sunday,13,33,England,2024/2025,Premier League,Away,Chelsea,2,1,Fulham,W,1
2025-04-26,Saturday,11,34,England,2024/2025,Premier League,Home,Chelsea,1,0,Everton,W,1
2025-05-04,Sunday,15,35,England,2024/2025,Premier League,Home,Chelsea,3,1,Liverpool,W,2
2025-05-11,Sunday,11,36,England,2024/2025,Premier League,Away,Chelsea,0,2,Newcastle,L,-2
2025-05-16,Friday,19,37,England,2024/2025,Premier League,Home,Chelsea,1,0,Man United,W,1
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Away,Chelsea,1,0,Nottingham,W,1
2024-08-17,Saturday,14,1,England,2024/2025,Premier League,Home,Everton,0,3,Brighton Hove,L,-3
2024-08-24,Saturday,14,2,England,2024/2025,Premier League,Away,Everton,0,4,Tottenham,L,-4
2024-08-31,Saturday,14,3,England,2024/2025,Premier League,Home,Everton,2,3,Bournemouth,L,-1
2024-09-14,Saturday,16,4,England,2024/2025,Premier League,Away,Everton,2,3,Aston Villa,L,-1
2024-09-21,Saturday,14,5,England,2024/2025,Premier League,Away,Everton,1,1,Leicester City,D,0
2024-09-28,Saturday,14,6,England,2024/2025,Premier League,Home,Everton,2,1,Crystal Palace,W,1
2024-10-05,Saturday,16,7,England,2024/2025,Premier League,Home,Everton,0,0,Newcastle,D,0
2024-10-19,Saturday,14,8,England,2024/2025,Premier League,Away,Everton,2,0,Ipswich Town,W,2
2024-10-26,Saturday,16,9,England,2024/2025,Premier League,Home,Everton,1,1,Fulham,D,0
2024-11-02,Saturday,15,10,England,2024/2025,Premier League,Away,Everton,0,1,Southampton,L,-1
2024-11-09,Saturday,15,11,England,2024/2025,Premier League,Away,Everton,0,0,West Ham,D,0
2024-11-23,Saturday,15,12,England,2024/2025,Premier League,Home,Everton,0,0,Brentford,D,0
2024-12-01,Sunday,13,13,England,2024/2025,Premier League,Away,Everton,0,4,Man United,L,-4
2024-12-04,Wednesday,19,14,England,2024/2025,Premier League,Home,Everton,4,0,Wolverhampton,W,4
2024-12-14,Saturday,15,16,England,2024/2025,Premier League,Away,Everton,0,0,Arsenal,D,0
2024-12-22,Sunday,14,17,England,2024/2025,Premier League,Home,Everton,0,0,Chelsea,D,0
2024-12-26,Thursday,12,18,England,2024/2025,Premier League,Away,Everton,1,1,Man City,D,0
2024-12-29,Sunday,15,19,England,2024/2025,Premier League,Home,Everton,0,2,Nottingham,L,-2
2025-01-04,Saturday,15,20,England,2024/2025,Premier League,Away,Everton,0,1,Bournemouth,L,-1
2025-01-15,Wednesday,19,21,England,2024/2025,Premier League,Home,Everton,0,1,Aston Villa,L,-1
2025-01-19,Sunday,14,22,England,2024/2025,Premier League,Home,Everton,3,2,Tottenham,W,1
2025-01-25,Saturday,15,23,England,2024/2025,Premier League,Away,Everton,1,0,Brighton Hove,W,1
2025-02-01,Saturday,15,24,England,2024/2025,Premier League,Home,Everton,4,0,Leicester City,W,4
2025-02-12,Wednesday,19,15,England,2024/2025,Premier League,Home,Everton,2,2,Liverpool,D,0
2025-02-15,Saturday,17,25,England,2024/2025,Premier League,Away,Everton,2,1,Crystal Palace,W,1
2025-02-22,Saturday,12,26,England,2024/2025,Premier League,Home,Everton,2,2,Man United,D,0
2025-02-26,Wednesday,19,27,England,2024/2025,Premier League,Away,Everton,1,1,Brentford,D,0
