,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
132,2025-01-04,15,20,England,Premier League,Away,Everton,0,1,Bournemouth,0,-1
133,2025-01-15,19,21,England,Premier League,Home,Everton,0,1,Aston Villa,0,-1
134,2025-01-19,14,22,England,Premier League,Home,Everton,3,2,Tottenham,1,1
135,2025-01-25,15,23,England,Premier League,Away,Everton,1,0,Brighton Hove,1,1
136,2025-02-01,15,24,England,Premier League,Home,Everton,4,0,Leicester City,1,4
137,2025-02-12,19,15,England,Premier League,Home,Everton,2,2,Liverpool,2,0
138,2025-02-15,17,25,England,Premier League,Away,Everton,2,1,Crystal Palace,1,1
139,2025-02-22,12,26,England,Premier League,Home,Everton,2,2,Man United,2,0
140,2025-02-26,19,27,England,Premier League,Away,Everton,1,1,Brentford,2,0
141,2025-03-08,20,28,England,Premier League,Away,Everton,1,1,Wolverhampton,2,0
142,2025-03-15,15,29,England,Premier League,Home,Everton,1,1,West Ham,2,0
143,2025-04-02,19,30,England,Premier League,Away,Everton,0,1,Liverpool,0,-1
144,2025-04-05,11,31,England,Premier League,Home,Everton,1,1,Arsenal,2,0
145,2025-04-12,14,32,England,Premier League,Away,Everton,1,0,Nottingham,1,1
146,2025-04-19,14,33,England,Premier League,Home,Everton,0,2,Man City,0,-2
147,2025-04-26,11,34,England,Premier League,Away,Everton,0,1,Chelsea,0,-1
148,2025-05-03,14,35,England,Premier League,Home,Everton,2,2,Ipswich Town,2,0
149,2025-05-10,14,36,England,Premier League,Away,Everton,3,1,Fulham,1,2
150,2025-05-18,11,37,England,Premier League,Home,Everton,2,0,Southampton,1,2
151,2025-05-25,15,38,England,Premier League,Away,Everton,1,0,Newcastle,1,1
152,2024-08-16,19,1,England,Premier League,Away,Fulham,0,1,Man United,0,-1
153,2024-08-24,14,2,England,Premier League,Home,Fulham,2,1,Leicester City,1,1
154,2024-08-31,14,3,England,Premier League,Away,Fulham,1,1,Ipswich Town,2,0
155,2024-09-14,14,4,England,Premier League,Home,Fulham,1,1,West Ham,2,0
156,2024-09-21,14,5,England,Premier League,Home,Fulham,3,1,Newcastle,1,2
157,2024-09-28,14,6,England,Premier League,Away,Fulham,1,0,Nottingham,1,1
158,2024-10-05,14,7,England,Premier League,Away,Fulham,2,3,Man City,0,-1
159,2024-10-19,14,8,England,Premier League,Home,Fulham,1,3,Aston Villa,0,-2
160,2024-10-26,16,9,England,Premier League,Away,Fulham,1,1,Everton,2,0
161,2024-11-04,20,10,England,Premier League,Home,Fulham,2,1,Brentford,1,1
162,2024-11-09,15,11,England,Premier League,Away,Fulham,2,0,Crystal Palace,1,2
163,2024-11-23,15,12,England,Premier League,Home,Fulham,1,4,Wolverhampton,0,-3
164,2024-12-01,13,13,England,Premier League,Away,Fulham,1,1,Tottenham,2,0
165,2024-12-05,19,14,England,Premier League,Home,Fulham,3,1,Brighton Hove,1,2
166,2024-12-08,14,15,England,Premier League,Home,Fulham,1,1,Arsenal,2,0
167,2024-12-14,15,16,England,Premier League,Away,Fulham,2,2,Liverpool,2,0
168,2024-12-22,14,17,England,Premier League,Home,Fulham,0,0,Southampton,2,0
169,2024-12-26,15,18,England,Premier League,Away,Fulham,2,1,Chelsea,1,1
170,2024-12-29,15,19,England,Premier League,Home,Fulham,2,2,Bournemouth,2,0
171,2025-01-05,14,20,England,Premier League,Home,Fulham,2,2,Ipswich Town,2,0
172,2025-01-14,19,21,England,Premier League,Away,Fulham,2,3,West Ham,0,-1
173,2025-01-18,15,22,England,Premier League,Away,Fulham,2,0,Leicester City,1,2
174,2025-01-26,19,23,England,Premier League,Home,Fulham,0,1,Man United,0,-1
175,2025-02-01,15,24,England,Premier League,Away,Fulham,2,1,Newcastle,1,1
176,2025-02-15,15,25,England,Premier League,Home,Fulham,2,1,Nottingham,1,1
177,2025-02-22,15,26,England,Premier League,Home,Fulham,0,2,Crystal Palace,0,-2
178,2025-02-25,19,27,England,Premier League,Away,Fulham,2,1,Wolverhampton,1,1
179,2025-03-08,15,28,England,Premier League,Away,Fulham,1,2,Brighton Hove,0,-1
180,2025-03-16,13,29,England,Premier League,Home,Fulham,2,0,Tottenham,1,2
181,2025-04-01,18,30,England,Premier League,Away,Fulham,1,2,Arsenal,0,-1
182,2025-04-06,13,31,England,Premier League,Home,Fulham,3,2,Liverpool,1,1
183,2025-04-14,19,32,England,Premier League,Away,Fulham,0,1,Bournemouth,0,-1
184,2025-04-20,13,33,England,Premier League,Home,Fulham,1,2,Chelsea,0,-1
