,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
2736,1,2024-08-24,13,Bundesliga,2,Hoffenheim,720,Holstein Kiel,HOME_TEAM,3,2
2737,2,2024-08-31,13,Bundesliga,19,Frankfurt,2,Hoffenheim,HOME_TEAM,3,1
2738,3,2024-09-14,13,Bundesliga,2,Hoffenheim,3,Leverkusen,AWAY_TEAM,1,4
2739,4,2024-09-21,13,Bundesliga,28,Union Berlin,2,Hoffenheim,HOME_TEAM,2,1
2740,5,2024-09-29,15,Bundesliga,2,Hoffenheim,12,Bremen,AWAY_TEAM,3,4
2741,6,2024-10-06,17,Bundesliga,10,Stuttgart,2,Hoffenheim,DRAW,1,1
2742,7,2024-10-19,13,Bundesliga,2,Hoffenheim,36,Bochum,HOME_TEAM,3,1
2743,8,2024-10-27,18,Bundesliga,44,Heidenheim,2,Hoffenheim,DRAW,0,0
2744,9,2024-11-02,14,Bundesliga,2,Hoffenheim,20,St. Pauli,AWAY_TEAM,0,2
2745,10,2024-11-10,14,Bundesliga,16,Augsburg,2,Hoffenheim,DRAW,0,0
2746,11,2024-11-23,14,Bundesliga,2,Hoffenheim,721,RB Leipzig,HOME_TEAM,4,3
2747,12,2024-12-01,14,Bundesliga,15,Mainz,2,Hoffenheim,HOME_TEAM,2,0
2748,13,2024-12-08,16,Bundesliga,2,Hoffenheim,17,Freiburg,DRAW,1,1
2749,14,2024-12-15,16,Bundesliga,4,Dortmund,2,Hoffenheim,DRAW,1,1
2750,15,2024-12-21,14,Bundesliga,2,Hoffenheim,18,M'gladbach,AWAY_TEAM,1,2
2751,16,2025-01-11,14,Bundesliga,2,Hoffenheim,11,Wolfsburg,AWAY_TEAM,0,1
2752,17,2025-01-15,19,Bundesliga,5,Bayern,2,Hoffenheim,HOME_TEAM,5,0
2753,18,2025-01-18,14,Bundesliga,720,Holstein Kiel,2,Hoffenheim,AWAY_TEAM,1,3
2754,19,2025-01-26,14,Bundesliga,2,Hoffenheim,19,Frankfurt,DRAW,2,2
2755,20,2025-02-02,16,Bundesliga,3,Leverkusen,2,Hoffenheim,HOME_TEAM,3,1
2756,21,2025-02-08,14,Bundesliga,2,Hoffenheim,28,Union Berlin,AWAY_TEAM,0,4
2757,22,2025-02-16,14,Bundesliga,12,Bremen,2,Hoffenheim,AWAY_TEAM,1,3
2758,23,2025-02-23,18,Bundesliga,2,Hoffenheim,10,Stuttgart,DRAW,1,1
2759,24,2025-03-01,14,Bundesliga,36,Bochum,2,Hoffenheim,AWAY_TEAM,0,1
